Mutation_Type	Count	Rate_per_bp_total	Rate_per_bp_effective
SNV	17	2.786214e-07	2.799390e-07
Indel_1bp_Total	211	3.458183e-06	3.474538e-06
Indel_1bp_Insertion	199	3.261509e-06	3.276934e-06
Indel_1bp_Deletion	12	1.966739e-07	1.976040e-07
Indel_2_49bp_Total	7	1.147264e-07	1.152690e-07
Indel_2_49bp_Insertion	5	8.194746e-08	8.233501e-08
Indel_2_49bp_Deletion	2	3.277898e-08	3.293401e-08
SV_Total	0	0.000000e+00	0.000000e+00
SV_Insertion	0	0.000000e+00	0.000000e+00
SV_Deletion	0	0.000000e+00	0.000000e+00
Tandem_Repeat	171	2.802603e-06	2.815857e-06
Total	235	3.851531e-06	3.869746e-06
Block_length_bp	61014704	.	.
Block_length_effective_bp	60727505	.	.
