Mutation_Type	Count	Rate_per_bp_total	Rate_per_bp_effective
SNV	14	5.087775e-07	5.114762e-07
Indel_1bp_Total	406	1.475455e-05	1.483281e-05
Indel_1bp_Insertion	392	1.424577e-05	1.432133e-05
Indel_1bp_Deletion	14	5.087775e-07	5.114762e-07
Indel_2_49bp_Total	9	3.270713e-07	3.288061e-07
Indel_2_49bp_Insertion	6	2.180475e-07	2.192041e-07
Indel_2_49bp_Deletion	3	1.090238e-07	1.096020e-07
SV_Total	1	3.634125e-08	3.653401e-08
SV_Insertion	0	0.000000e+00	0.000000e+00
SV_Deletion	1	3.634125e-08	3.653401e-08
Tandem_Repeat	305	1.108408e-05	1.114287e-05
Total	430	1.562674e-05	1.570963e-05
Block_length_bp	27516938	.	.
Block_length_effective_bp	27371754	.	.
