Mutation_Type	Count	Rate_per_bp_total	Rate_per_bp_effective
SNV	42	5.201092e-07	5.251058e-07
Indel_1bp_Total	184	2.278573e-06	2.300463e-06
Indel_1bp_Insertion	166	2.055670e-06	2.075418e-06
Indel_1bp_Deletion	18	2.229039e-07	2.250453e-07
Indel_2_49bp_Total	13	1.609862e-07	1.625327e-07
Indel_2_49bp_Insertion	12	1.486026e-07	1.500302e-07
Indel_2_49bp_Deletion	1	1.238355e-08	1.250252e-08
SV_Total	0	0.000000e+00	0.000000e+00
SV_Insertion	0	0.000000e+00	0.000000e+00
SV_Deletion	0	0.000000e+00	0.000000e+00
Tandem_Repeat	145	1.795615e-06	1.812865e-06
Total	239	2.959669e-06	2.988102e-06
Block_length_bp	80752279	.	.
Block_length_effective_bp	79983884	.	.
