Mutation_Type	Count	Rate_per_bp_total	Rate_per_bp_effective
SNV	5	1.071758e-07	1.073753e-07
Indel_1bp_Total	103	2.207821e-06	2.211931e-06
Indel_1bp_Insertion	90	1.929164e-06	1.932755e-06
Indel_1bp_Deletion	13	2.786570e-07	2.791757e-07
Indel_2_49bp_Total	23	4.930085e-07	4.939263e-07
Indel_2_49bp_Insertion	19	4.072679e-07	4.080260e-07
Indel_2_49bp_Deletion	4	8.574061e-08	8.590022e-08
SV_Total	2	4.287031e-08	4.295011e-08
SV_Insertion	1	2.143515e-08	2.147505e-08
SV_Deletion	1	2.143515e-08	2.147505e-08
Tandem_Repeat	97	2.079210e-06	2.083080e-06
Total	133	2.850875e-06	2.856182e-06
Block_length_bp	46652338	.	.
Block_length_effective_bp	46565656	.	.
