Mutation_Type	Count	Rate_per_bp_total	Rate_per_bp_effective
SNV	0	0.000000e+00	0.000000e+00
Indel_1bp_Total	3	2.317903e-08	2.326640e-08
Indel_1bp_Insertion	3	2.317903e-08	2.326640e-08
Indel_1bp_Deletion	0	0.000000e+00	0.000000e+00
Indel_2_49bp_Total	2	1.545269e-08	1.551093e-08
Indel_2_49bp_Insertion	1	7.726343e-09	7.755466e-09
Indel_2_49bp_Deletion	1	7.726343e-09	7.755466e-09
SV_Total	0	0.000000e+00	0.000000e+00
SV_Insertion	0	0.000000e+00	0.000000e+00
SV_Deletion	0	0.000000e+00	0.000000e+00
Tandem_Repeat	5	3.863171e-08	3.877733e-08
Total	5	3.863171e-08	3.877733e-08
Block_length_bp	129427345	.	.
Block_length_effective_bp	128941314	.	.
