Mutation_Type	Count	Rate_per_bp_total	Rate_per_bp_effective
SNV	0	0.000000e+00	0.000000e+00
Indel_1bp_Total	8	6.181074e-08	6.204373e-08
Indel_1bp_Insertion	8	6.181074e-08	6.204373e-08
Indel_1bp_Deletion	0	0.000000e+00	0.000000e+00
Indel_2_49bp_Total	2	1.545269e-08	1.551093e-08
Indel_2_49bp_Insertion	2	1.545269e-08	1.551093e-08
Indel_2_49bp_Deletion	0	0.000000e+00	0.000000e+00
SV_Total	0	0.000000e+00	0.000000e+00
SV_Insertion	0	0.000000e+00	0.000000e+00
SV_Deletion	0	0.000000e+00	0.000000e+00
Tandem_Repeat	7	5.408440e-08	5.428826e-08
Total	10	7.726343e-08	7.755466e-08
Block_length_bp	129427345	.	.
Block_length_effective_bp	128941314	.	.
