Mutation_Type	Count	Rate_per_bp_total	Rate_per_bp_effective
SNV	0	0.000000e+00	0.000000e+00
Indel_1bp_Total	0	0.000000e+00	0.000000e+00
Indel_1bp_Insertion	0	0.000000e+00	0.000000e+00
Indel_1bp_Deletion	0	0.000000e+00	0.000000e+00
Indel_2_49bp_Total	0	0.000000e+00	0.000000e+00
Indel_2_49bp_Insertion	0	0.000000e+00	0.000000e+00
Indel_2_49bp_Deletion	0	0.000000e+00	0.000000e+00
SV_Total	0	0.000000e+00	0.000000e+00
SV_Insertion	0	0.000000e+00	0.000000e+00
SV_Deletion	0	0.000000e+00	0.000000e+00
Tandem_Repeat	0	0.000000e+00	0.000000e+00
Total	0	0.000000e+00	0.000000e+00
Block_length_bp	12880692	.	.
Block_length_effective_bp	12880692	.	.
