chr	bp_est_1based	bp_lo	bp_hi	conf	left_hap	right_hap	status
chr1	39228397	39227396	39229396	1.000	hap1	hap2	ACTIVE
chr1	62566685	62565684	62567684	1.000	hap2	hap1	ACTIVE
chr1	87761661	87761075	87762246	1.000	hap1	hap2	ACTIVE
chr1	157846651	157846065	157847236	1.000	hap2	hap1	ACTIVE
chr1	214571490	214570489	214572489	1.000	hap1	hap2	ACTIVE
chr2	8546901	8546400	8547400	1.000	hap1	hap2	OK
chr2	69151735	69150734	69152734	1.000	hap2	hap1	ACTIVE
chr3	84049790	84049289	84050289	1.000	hap1	hap2	OK
chr3	152298132	152297839	152298424	1.000	hap2	hap1	OK
chr4	30002942	30002441	30003441	1.000	hap2	hap1	OK
chr4	59384404	59383403	59385403	1.000	hap1	hap2	ACTIVE
chr4	161568170	161567169	161569169	1.000	hap2	hap1	ACTIVE
chr5	11001286	11000285	11002285	1.000	hap2	hap1	ACTIVE
chr5	85606550	84606549	86606549	0.000	hap1	hap2	LIKELY_FP
chr5	66478683	65478682	67478682	0.000	hap2	hap1	LIKELY_FP
chr6	671786	0	1343571	0.000	hap1	hap2	LIKELY_FP
chr6	9267190	9266689	9267689	1.000	hap2	hap1	OK
chr6	131449342	131448841	131449841	1.000	hap1	hap2	OK
chr6	156154704	156153703	156155703	1.000	hap2	hap1	ACTIVE
chr7	132353798	132353504	132354090	1.000	hap1	hap2	OK
chr7	156655868	156654867	156656867	1.000	hap2	hap1	ACTIVE
chr8	37865542	37865248	37865834	1.000	hap1	hap2	OK
chr9	17856783	17855782	17857782	1.000	hap2	hap1	ACTIVE
chr9	78419356	78418355	78420355	1.000	hap1	hap2	ACTIVE
chr9	123676860	123676566	123677152	1.000	hap2	hap1	OK
chr9	129071659	129071658	129071659	0.000	hap1	hap2	EMPTY_PROBE
chr9	123589352	123588351	123590351	1.000	hap2	hap1	ACTIVE
chrX	15138866	15138572	15139158	1.000	hap2	hap1	OK
chrX	32588162	32587161	32589161	1.000	hap1	hap2	ACTIVE
chr10	7586920	7585919	7587919	1.000	hap2	hap1	ACTIVE
chr10	97724685	97724184	97725184	1.000	hap1	hap2	OK
chr11	4431363	4430362	4432362	1.000	hap2	hap1	ACTIVE
chr11	45149736	45149443	45150028	1.000	hap1	hap2	OK
chr11	100451643	100450642	100452642	1.000	hap2	hap1	ACTIVE
chr11	130174775	130173774	130175774	1.000	hap1	hap2	ACTIVE
chr12	4216814	4215813	4217813	1.000	hap1	hap2	ACTIVE
chr12	47568938	47567937	47569937	1.000	hap2	hap1	ACTIVE
chr12	95866400	95865814	95866985	1.000	hap1	hap2	ACTIVE
chr12	118195963	118194962	118196962	1.000	hap2	hap1	ACTIVE
chr13	11921439	11920438	11922438	1.000	hap1	hap2	ACTIVE
chr13	85800946	85800445	85801445	1.000	hap2	hap1	OK
chr13	107168074	107167780	107168366	1.000	hap1	hap2	OK
chr14	5342423	5341422	5343422	1.000	hap2	hap1	ACTIVE
chr15	21523253	21522252	21524252	1.000	hap2	hap1	ACTIVE
chr15	84848041	84847040	84849040	1.000	hap1	hap2	ACTIVE
chr16	55233119	54233118	56233118	0.000	hap1	hap2	LIKELY_FP
chr16	31413104	30413103	32413103	0.000	hap2	hap1	LIKELY_FP
chr16	83309073	82309072	84309072	0.000	hap1	hap2	LIKELY_FP
chr16	66359851	66359362	66360338	1.000	hap2	hap1	OK
chr16	85964731	85964144	85965316	1.000	hap1	hap2	ACTIVE
chr17	58531666	58530665	58532665	1.000	hap2	hap1	ACTIVE
chr18	9804034	9803740	9804326	1.000	hap1	hap2	OK
chr18	38619386	38618799	38619971	1.000	hap2	hap1	ACTIVE
chr18	59734434	58734433	60734433	0.000	hap1	hap2	LIKELY_FP
chr18	38619419	38618418	38620418	1.000	hap2	hap1	ACTIVE
chr18	70050470	70049469	70051469	1.000	hap1	hap2	ACTIVE
chr19	11511615	11511029	11512200	1.000	hap2	hap1	ACTIVE
chr20	10078838	10077837	10079837	1.000	hap2	hap1	ACTIVE
chr20	45296184	45295183	45297183	1.000	hap1	hap2	ACTIVE
chr20	66228142	66228141	66228142	0.000	hap2	hap1	EMPTY_PROBE
chr21	19223802	19222801	19224801	1.000	hap1	hap2	ACTIVE
