chr	bp_est_1based	bp_lo	bp_hi	conf	left_hap	right_hap	status
chr1	9903650	9903149	9904149	1.000	hap2	hap1	OK
chr1	420547	0	841093	0.000	hap1	hap2	LIKELY_FP
chr1	9904917	9904624	9905209	1.000	hap2	hap1	OK
chr1	111622754	111622461	111623046	1.000	hap1	hap2	OK
chr1	90437878	89437877	91437877	0.000	hap2	hap1	LIKELY_FP
chr1	111620148	111619562	111620733	1.000	hap1	hap2	ACTIVE
chr1	97969699	96969698	98969698	0.000	hap2	hap1	LIKELY_FP
chr1	111619613	111618612	111620612	1.000	hap1	hap2	ACTIVE
chr1	191065193	191064692	191065692	1.000	hap2	hap1	OK
chr2	50597070	50596069	50598069	1.000	hap1	hap2	ACTIVE
chr2	144012754	144011753	144013753	1.000	hap2	hap1	ACTIVE
chr3	565889	0	1131776	0.000	hap2	hap1	LIKELY_FP
chr3	192207944	191207943	193207943	0.000	hap1	hap2	LIKELY_FP
chr3	169308552	168308551	170308551	0.000	hap2	hap1	LIKELY_FP
chr3	202556134	202556133	202556134	0.000	hap1	hap2	EMPTY_PROBE
chr3	188625005	187625004	189625004	0.000	hap2	hap1	LIKELY_FP
chr4	20544429	20543428	20545428	1.000	hap1	hap2	ACTIVE
chr4	190448526	190448525	190448526	0.000	hap2	hap1	EMPTY_PROBE
chr4	171113573	170113572	172113572	0.000	hap1	hap2	LIKELY_FP
chr5	32415376	32414875	32415875	1.000	hap1	hap2	OK
chr6	170722003	170721709	170722295	1.000	hap2	hap1	OK
chr7	7133551	7132550	7134550	1.000	hap1	hap2	ACTIVE
chr8	2545480	2545186	2545772	1.000	hap1	hap2	OK
chr8	128514512	128513511	128515511	1.000	hap2	hap1	ACTIVE
chr9	127464505	127464004	127465004	1.000	hap1	hap2	OK
chr9	136209129	136209128	136209129	0.000	hap2	hap1	EMPTY_PROBE
chr9	127469738	127468737	127470737	1.000	hap1	hap2	ACTIVE
chr10	126399796	126399210	126400381	1.000	hap1	hap2	ACTIVE
chr10	134510311	134510310	134510311	0.000	hap2	hap1	EMPTY_PROBE
chr11	11391328	11390327	11392327	1.000	hap1	hap2	ACTIVE
chr11	130793817	130792840	130794793	1.000	hap2	hap1	ACTIVE
chr12	119012950	119011949	119013949	1.000	hap1	hap2	ACTIVE
chr13	90580848	90580262	90581433	1.000	hap2	hap1	ACTIVE
chr14	37398486	37398193	37398778	1.000	hap1	hap2	OK
chr14	86102606	86102020	86103191	1.000	hap2	hap1	ACTIVE
chr15	96608001	96607000	96609000	1.000	hap2	hap1	ACTIVE
chr16	28560703	27560702	29560702	0.000	hap2	hap1	LIKELY_FP
chr16	4710798	3710797	5710797	0.000	hap1	hap2	LIKELY_FP
chr16	30509422	29509421	31509421	0.000	hap2	hap1	LIKELY_FP
chr16	6559443	5559442	7559442	0.000	hap1	hap2	LIKELY_FP
chr17	11562441	11561440	11563440	1.000	hap1	hap2	ACTIVE
chr17	67455340	67455046	67455632	1.000	hap2	hap1	OK
chr18	2056580	2055579	2057579	1.000	hap1	hap2	ACTIVE
chr18	75556985	75555031	75558937	1.000	hap2	hap1	ACTIVE
chr19	7236128	7235127	7237127	1.000	hap1	hap2	ACTIVE
chr19	62565806	62564805	62566805	1.000	hap2	hap1	ACTIVE
